Month,State,Average_order_Value_by_State_n_Month
2017-04-01 00:00:00 UTC,MA,110.5
2017-04-01 00:00:00 UTC,SE,110.2
2017-07-01 00:00:00 UTC,RR,109.9
2017-05-01 00:00:00 UTC,SE,108.9
2016-11-01 00:00:00 UTC,DF,105.6
2016-10-01 00:00:00 UTC,ES,104.3
2017-05-01 00:00:00 UTC,AM,104.3
2017-02-01 00:00:00 UTC,AM,103.7
2017-02-01 00:00:00 UTC,MA,103.3
2017-03-01 00:00:00 UTC,SE,102.5
2018-10-01 00:00:00 UTC,MG,101.4
2016-10-01 00:00:00 UTC,MT,101.4
2016-11-01 00:00:00 UTC,RJ,101
2017-03-01 00:00:00 UTC,AL,100.4
2018-03-01 00:00:00 UTC,AC,99.7
2017-03-01 00:00:00 UTC,RN,98.9
2017-10-01 00:00:00 UTC,AP,96.2
2017-08-01 00:00:00 UTC,RO,94.6
2018-09-01 00:00:00 UTC,PB,93.2
2017-02-01 00:00:00 UTC,CE,92.6
2018-02-01 00:00:00 UTC,AC,91.9
2017-01-01 00:00:00 UTC,DF,91.9
2017-01-01 00:00:00 UTC,RS,89.7
2017-01-01 00:00:00 UTC,SE,88.3
2017-08-01 00:00:00 UTC,TO,86.8
2017-01-01 00:00:00 UTC,PB,84.5
2016-11-01 00:00:00 UTC,SE,84.5
2016-12-01 00:00:00 UTC,SP,82.7
2018-04-01 00:00:00 UTC,AC,82.3
2017-01-01 00:00:00 UTC,GO,76.6
2016-11-01 00:00:00 UTC,AL,76.6
2016-11-01 00:00:00 UTC,BA,75.8
2017-01-01 00:00:00 UTC,PR,75.2
2016-11-01 00:00:00 UTC,PB,74.7
2016-10-01 00:00:00 UTC,RR,69
2017-10-01 00:00:00 UTC,RR,65.4
2018-09-01 00:00:00 UTC,MS,65.3
2018-09-01 00:00:00 UTC,DF,65.3
2018-03-01 00:00:00 UTC,RR,59.4
2017-05-01 00:00:00 UTC,RR,59
2016-11-01 00:00:00 UTC,PR,58.5
2017-04-01 00:00:00 UTC,RR,55.9
2017-02-01 00:00:00 UTC,RR,54.4
2017-11-01 00:00:00 UTC,AM,45.3
2016-12-01 00:00:00 UTC,PR,19.6
